TRAVEL_ID,GENDER,AGE_GRP,FCLTY_ID,FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,DGSTFN
h_h002196,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h002308,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002308,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002327,남,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,2.0
h_h002378,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002466,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002466,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002492,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002533,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h002545,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002555,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002565,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002632,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002684,남,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h002713,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h002730,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003038,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h003038,여,40,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h003148,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003217,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003347,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h003389,여,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h003496,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003531,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003642,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h003744,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h003763,여,60,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004106,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h004154,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004179,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004225,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004226,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h004315,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h004363,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h004411,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h004523,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004654,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004703,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h004845,남,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h004977,남,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h005058,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h005217,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h005238,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h005245,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h005342,여,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h005798,여,20,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h005857,남,30,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h006635,남,50,33,금능해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000021,남,40,36,기당미술관,전시/공연,전시/기념관,미술관,4.0
h_h000057,여,30,36,기당미술관,전시/공연,전시/기념관,미술관,5.0
h_h001441,여,30,36,기당미술관,전시/공연,전시/기념관,미술관,5.0
h_h001705,여,60,36,기당미술관,전시/공연,전시/기념관,미술관,4.0
h_h002549,남,30,36,기당미술관,전시/공연,전시/기념관,미술관,5.0
h_h003264,남,40,36,기당미술관,전시/공연,전시/기념관,미술관,5.0
h_h003272,여,50,36,기당미술관,전시/공연,전시/기념관,미술관,4.0
h_h000053,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000093,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h000104,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000192,여,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000212,여,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000536,여,20,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000691,남,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,3.0
h_h000756,여,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h000760,여,50,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h000800,여,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h000819,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h000914,여,20,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h001091,여,40,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h001543,여,50,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h002163,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,4.0
h_h002533,여,30,37,김녕미로공원,문화관광/명소,관광지,유명관광지,5.0
h_h002631,남,20,39,김녕요트투어,레저/체육/공원,대형레저시설,요트장,5.0
h_h002778,여,20,39,김녕요트투어,레저/체육/공원,대형레저시설,요트장,5.0
h_h002792,여,40,39,김녕요트투어,레저/체육/공원,대형레저시설,요트장,3.0
h_h000043,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000192,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000263,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000271,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000276,남,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000280,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000304,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000553,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000553,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000597,여,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000602,남,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000603,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000660,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000667,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000691,남,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h000734,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h000759,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000765,남,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000917,남,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000917,남,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h000922,남,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001025,남,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001129,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001152,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001257,여,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001276,남,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001309,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001317,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001443,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h001504,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001533,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001535,남,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001542,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001543,여,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,4.0
h_h001570,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001744,여,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001767,남,50,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001803,남,30,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001820,여,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,3.0
h_h001842,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001853,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001873,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h001889,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002099,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002133,남,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002182,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002183,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002322,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002322,여,20,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
h_h002354,남,40,40,김녕해수욕장,문화관광/명소,관광지,해수욕장,5.0
