FCLTY_NM,CTGRY_ONE_NM,CTGRY_TWO_NM,CTGRY_THREE_NM,SIGNGU_NM,WCHAIR_HOLD_AT,DSPSN_TOILET_AT,DSPSN_PRKPLCE_AT,GUID_DOG_ACP_POSBL_AT,BRLL_GUID_AT,KLANG_VIC_GUID_AT,PARKNG_AT,FCLTY_ID,TRAVEL_ID,DGSTFN,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_COMPANIONS_NUM
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h004154,4.0,남,20,2,2,1,2,5,5,6,7,3
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h005058,5.0,남,30,4,4,4,4,4,4,4,3,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h005311,5.0,여,30,4,3,2,4,5,4,3,6,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h005441,5.0,남,50,1,4,2,3,6,6,1,7,4
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h005624,5.0,여,30,1,4,4,2,7,4,2,7,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h006286,5.0,여,30,4,1,1,1,4,3,2,6,0
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h006398,5.0,남,50,5,3,3,3,3,5,3,5,1
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h006597,4.0,여,40,1,1,1,4,7,4,4,6,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h006638,5.0,여,50,4,3,3,4,4,3,4,4,2
국립제주박물관,전시/공연,전시/기념관,대형전시/박물관,제주시,1,1,1,1,1,0,1,26,h_h006694,4.0,남,30,1,5,4,6,3,4,6,2,0
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h000013,3.0,남,40,3,1,1,4,6,4,5,5,2
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h000014,5.0,여,20,2,2,1,2,2,4,7,6,7
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h000585,5.0,남,30,1,4,6,1,4,5,2,6,2
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h001207,5.0,남,40,2,6,1,2,1,2,3,5,1
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h002540,5.0,여,20,2,2,2,2,6,2,7,5,1
국제리더스클럽,레저/체육/공원,대형레저시설,요트장,제주시,0,0,0,1,0,0,1,28,h_h003703,5.0,여,30,5,4,2,3,5,2,2,6,7
그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,제주시,0,1,1,1,1,0,1,30,h_h002656,4.0,여,30,3,1,2,1,7,7,1,7,2
그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,제주시,0,1,1,1,1,0,1,30,h_h002659,3.0,여,30,5,2,4,5,6,5,2,5,1
그리스신화박물관,전시/공연,전시/기념관,기타전시/박물관,제주시,0,1,1,1,1,0,1,30,h_h005492,3.0,여,40,1,6,2,2,5,4,5,5,4
금능석물원,문화관광/명소,관광지,식물원,제주시,0,0,0,1,0,0,1,32,h_h003675,3.0,여,20,5,2,2,6,2,2,3,7,0
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000009,5.0,남,40,3,2,3,3,3,5,2,6,1
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000020,5.0,여,50,2,2,1,2,7,5,3,5,2
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000047,5.0,여,50,5,5,1,3,4,6,1,7,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000058,5.0,여,30,1,1,2,6,6,5,3,5,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000086,5.0,여,30,2,2,4,2,1,2,6,5,0
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000098,5.0,남,20,4,2,1,6,3,4,3,4,4
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000158,4.0,남,50,1,1,6,2,1,2,5,7,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000179,5.0,여,40,1,2,6,1,1,3,1,6,6
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000186,4.0,여,40,4,3,4,2,3,4,3,7,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000222,4.0,여,30,2,2,1,6,1,5,1,2,1
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000238,3.0,남,30,1,2,1,3,2,3,1,2,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000319,5.0,여,30,2,3,4,5,2,2,4,3,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000324,5.0,여,20,2,1,1,5,4,2,1,7,1
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000346,5.0,여,50,2,4,3,2,3,3,2,3,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000353,5.0,여,30,2,3,4,2,2,4,6,6,0
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000453,5.0,여,30,2,1,2,1,3,3,7,5,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000453,5.0,여,30,2,1,2,1,3,3,7,5,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000464,5.0,여,50,2,2,6,4,2,6,6,5,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000481,5.0,여,20,3,3,4,1,3,6,1,7,0
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000531,5.0,여,30,3,1,1,2,1,6,1,7,1
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000585,4.0,남,30,1,4,6,1,4,5,2,6,2
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000620,4.0,남,20,2,2,1,4,5,2,3,5,3
금능해수욕장,문화관광/명소,관광지,해수욕장,제주시,0,0,0,1,0,0,1,33,h_h000620,4.0,남,20,2,2,1,4,5,2,3,5,3
